"JennyLab","JennyLab h4x0rs","EN","ES"
"abstract","abstract","EN","ES"
"acos","acos","EN","ES"
"after","after","EN","ES"
"alert","alert","EN","ES"
"all","all","EN","ES"
"allow","allow","EN","ES"
"anchor","anchor","EN","ES"
"anchors","anchors","EN","ES"
"and","and","EN","ES"
"and_eq","and_eq","EN","ES"
"area","area","EN","ES"
"arguments","arguments","EN","ES"
"array","array","EN","ES"
"Array","Array","EN","ES"
"asin","asin","EN","ES"
"asm","asm","EN","ES"
"assert","assert","EN","ES"
"assign","assign","EN","ES"
"async","async","EN","ES"
"atan","atan","EN","ES"
"auto","auto","EN","ES"
"await","await","EN","ES"
"bitand","bitand","EN","ES"
"bitor","bitor","EN","ES"
"block","block","EN","ES"
"blur","blur","EN","ES"
"body","body","EN","ES"
"bool","bool","EN","ES"
"boolean","boolean","EN","ES"
"break","break","EN","ES"
"buff","buff","EN","ES"
"BUFF","BUFF","EN","ES"
"buffer","buffer","EN","ES"
"BUFFER","BUFFER","EN","ES"
"buffer overflow","buffer overflow","EN","ES"
"buffers","buffers","EN","ES"
"bus pirate","bus pirate","EN","ES"
"button","button","EN","ES"
"byte","byte","EN","ES"
"Call","Call","EN","ES"
"case","case","EN","ES"
"catch","catch","EN","ES"
"chan","chan","EN","ES"
"char","char","EN","ES"
"checkbox","checkbox","EN","ES"
"class","class","EN","ES"
"Class","Class","EN","ES"
"CLASS","CLASS","EN","ES"
"clearInterval","clearInterval","EN","ES"
"clearTimeout","clearTimeout","EN","ES"
"clientInformation","clientInformation","EN","ES"
"close","close","EN","ES"
"closed","closed","EN","ES"
"cloud","cloud","EN","ES"
"clouds","clouds","EN","ES"
"cmake","cmake","EN","ES"
"codec","codec","EN","ES"
"command","command","EN","ES"
"COMMAND","COMMAND","EN","ES"
"commands","commands","EN","ES"
"comment","comment","EN","ES"
"comments","comments","EN","ES"
"compl","compl","EN","ES"
"confirm","confirm","EN","ES"
"const","const","EN","ES"
"const_cast","const_cast","EN","ES"
"constructor","constructor","EN","ES"
"continue","continue","EN","ES"
"coords","coords","EN","ES"
"cos","cos","EN","ES"
"country","country","EN","ES"
"COUNTRY_*","COUNTRY_*","EN","ES"
"cout","cout","EN","ES"
"crypto","crypto","EN","ES"
"Data","Data","EN","ES"
"Date","Date","EN","ES"
"debugger","debugger","EN","ES"
"dec","dec","EN","ES"
"decode","decode","EN","ES"
"decodeURI","decodeURI","EN","ES"
"decodeURIComponent","decodeURIComponent","EN","ES"
"def","def","EN","ES"
"default","default","EN","ES"
"defaultStatus","defaultStatus","EN","ES"
"defer","defer","EN","ES"
"del","del","EN","ES"
"delete","delete","EN","ES"
"depends","depends","EN","ES"
"dev","dev","EN","ES"
"device","device","EN","ES"
"dir","dir","EN","ES"
"directory","directory","EN","ES"
"disallow","disallow","EN","ES"
"do","do","EN","ES"
"do (","do (","EN","ES"
"do {","do {","EN","ES"
"document","document","EN","ES"
"doself","doself","EN","ES"
"double","double","EN","ES"
"down","down","EN","ES"
"drop","drop","EN","ES"
"dump","dump","EN","ES"
"dumping","dumping","EN","ES"
"dynamic_cast","dynamic_cast","EN","ES"
"EIP","EIP","EN","ES"
"element","element","EN","ES"
"elements","elements","EN","ES"
"elif","elif","EN","ES"
"else","else","EN","ES"
"embed","embed","EN","ES"
"Embedded","Embedded","EN","ES"
"embeds","embeds","EN","ES"
"encode","encode","EN","ES"
"encodeURI","encodeURI","EN","ES"
"encodeURIComponent","encodeURIComponent","EN","ES"
"endl","endl","EN","ES"
"entry","entry","EN","ES"
"enum","enum","EN","ES"
"escape","escape","EN","ES"
"eval","eval","EN","ES"
"event","event","EN","ES"
"example","example","EN","ES"
"except","except","EN","ES"
"exec","exec","EN","ES"
"execute","execute","EN","ES"
"exfil","exfil","EN","ES"
"exfiltration","exfiltration","EN","ES"
"exp","exp","EN","ES"
"explicit","explicit","EN","ES"
"export","export","EN","ES"
"ext","ext","EN","ES"
"extends","extends","EN","ES"
"extension","extension","EN","ES"
"extern","extern","EN","ES"
"extract","extract","EN","ES"
"fabs","fabs","EN","ES"
"fallthrough","fallthrough","EN","ES"
"false","false","EN","ES"
"file","file","EN","ES"
"fileUpload","fileUpload","EN","ES"
"finally","finally","EN","ES"
"float","float","EN","ES"
"Float","Float","EN","ES"
"floor","floor","EN","ES"
"focus","focus","EN","ES"
"for","for","EN","ES"
"form","form","EN","ES"
"format","format","EN","ES"
"forms","forms","EN","ES"
"frame","frame","EN","ES"
"frameRate","frameRate","EN","ES"
"frames","frames","EN","ES"
"friend","friend","EN","ES"
"from","from","EN","ES"
"func","func","EN","ES"
"function","function","EN","ES"
"getClass","getClass","EN","ES"
"global","global","EN","ES"
"goto","goto","EN","ES"
"handle","handle","EN","ES"
"hasOwnProperty","hasOwnProperty","EN","ES"
"hex","hex","EN","ES"
"hidden","hidden","EN","ES"
"history","history","EN","ES"
"hwnd","hwnd","EN","ES"
"if","if","EN","ES"
"image","image","EN","ES"
"images","images","EN","ES"
"implements","implements","EN","ES"
"import","import","EN","ES"
"in","in","EN","ES"
"inc","inc","EN","ES"
"include","include","EN","ES"
"inet","inet","EN","ES"
"Infinity","Infinity","EN","ES"
"init","init","EN","ES"
"inject","inject","EN","ES"
"injection","injection","EN","ES"
"inline","inline","EN","ES"
"innerHeight","innerHeight","EN","ES"
"innerWidth","innerWidth","EN","ES"
"input","input","EN","ES"
"instanceof","instanceof","EN","ES"
"int","int","EN","ES"
"Int","Int","EN","ES"
"INT_MAX","INT_MAX","EN","ES"
"INT_MIN","INT_MIN","EN","ES"
"interface","interface","EN","ES"
"iomanip","iomanip","EN","ES"
"iostream","iostream","EN","ES"
"isFinite","isFinite","EN","ES"
"isNaN","isNaN","EN","ES"
"isPrototypeOf","isPrototypeOf","EN","ES"
"java","java","EN","ES"
"JavaArray","JavaArray","EN","ES"
"javaClass","javaClass","EN","ES"
"JavaObject","JavaObject","EN","ES"
"JavaPackage","JavaPackage","EN","ES"
"jmp","jmp","EN","ES"
"label","label","EN","ES"
"lambda","lambda","EN","ES"
"layer","layer","EN","ES"
"layers","layers","EN","ES"
"leak","leak","EN","ES"
"length","length","EN","ES"
"let","let","EN","ES"
"link","link","EN","ES"
"list","list","EN","ES"
"load","load","EN","ES"
"location","location","EN","ES"
"lock","lock","EN","ES"
"log","log","EN","ES"
"log10","log10","EN","ES"
"long","long","EN","ES"
"loop","loop","EN","ES"
"ls","ls","EN","ES"
"main","main","EN","ES"
"make","make","EN","ES"
"makefile","makefile","EN","ES"
"match","match","EN","ES"
"Math","Math","EN","ES"
"MAX_RAND","MAX_RAND","EN","ES"
"MCU","MCU","EN","ES"
"message","message","EN","ES"
"method","method","EN","ES"
"mimeTypes","mimeTypes","EN","ES"
"mode","mode","EN","ES"
"models","models","EN","ES"
"mutable","mutable","EN","ES"
"name","name","EN","ES"
"namespace","namespace","EN","ES"
"NaN","NaN","EN","ES"
"native","native","EN","ES"
"navigate","navigate","EN","ES"
"navigator","navigator","EN","ES"
"net","net","EN","ES"
"new","new","EN","ES"
"normalize","normalize","EN","ES"
"not","not","EN","ES"
"not_eq","not_eq","EN","ES"
"npos","npos","EN","ES"
"null","null","EN","ES"
"NULL","NULL","EN","ES"
"Number","Number","EN","ES"
"Numeric","Numeric","EN","ES"
"Object","Object","EN","ES"
"offscreenBuffering","offscreenBuffering","EN","ES"
"offset","offset","EN","ES"
"onblur","onblur","EN","ES"
"onclick","onclick","EN","ES"
"onerror","onerror","EN","ES"
"onfocus","onfocus","EN","ES"
"onkeydown","onkeydown","EN","ES"
"onkeypress","onkeypress","EN","ES"
"onkeyup","onkeyup","EN","ES"
"onload","onload","EN","ES"
"onmousedown","onmousedown","EN","ES"
"onmouseover","onmouseover","EN","ES"
"onmouseup","onmouseup","EN","ES"
"onsubmit","onsubmit","EN","ES"
"open","open","EN","ES"
"opener","opener","EN","ES"
"operator","operator","EN","ES"
"option","option","EN","ES"
"or_eq","or_eq","EN","ES"
"outerHeight","outerHeight","EN","ES"
"outerWidth","outerWidth","EN","ES"
"overflow","overflow","EN","ES"
"Oxphys","Oxphys","EN","ES"
"pack","pack","EN","ES"
"package","package","EN","ES"
"Package","Package","EN","ES"
"packages","packages","EN","ES"
"PACKAGES","PACKAGES","EN","ES"
"packet","packet","EN","ES"
"packets","packets","EN","ES"
"pageXOffset","pageXOffset","EN","ES"
"pageYOffset","pageYOffset","EN","ES"
"parameters","parameters","EN","ES"
"params","params","EN","ES"
"parent","parent","EN","ES"
"parseFloat","parseFloat","EN","ES"
"parseInt","parseInt","EN","ES"
"pass","pass","EN","ES"
"password","password","EN","ES"
"patch","patch","EN","ES"
"path","path","EN","ES"
"PATH","PATH","EN","ES"
"pettern","pattern","EN","ES"
"PETTERN","PATTERN","EN","ES"
"ping","ping","EN","ES"
"pirate bus","pirate bus","EN","ES"
"pkcs11","pkcs11","EN","ES"
"pkg","pkg","EN","ES"
"plugin","plugin","EN","ES"
"point","point","EN","ES"
"pop","pop","EN","ES"
"POP","POP","EN","ES"
"port","port","EN","ES"
"pos","pos","EN","ES"
"positions","positions","EN","ES"
"print","print","EN","ES"
"printf","printf","EN","ES"
"private","private","EN","ES"
"promise","promise","EN","ES"
"prompt","prompt","EN","ES"
"property","property","EN","ES"
"propertyIsEnum","propertyIsEnum","EN","ES"
"protected","protected","EN","ES"
"prototype","prototype","EN","ES"
"public","public","EN","ES"
"push","push","EN","ES"
"PUSH","PUSH","EN","ES"
"radio","radio","EN","ES"
"raise","raise","EN","ES"
"rand","rand","EN","ES"
"random","random","EN","ES"
"range","range","EN","ES"
"rax","rax","EN","ES"
"rbx","rbx","EN","ES"
"register","register","EN","ES"
"reinterpret_cast","reinterpret_cast","EN","ES"
"reject","reject","EN","ES"
"reply","reply","EN","ES"
"report","report","EN","ES"
"Request","Request","EN","ES"
"reset","reset","EN","ES"
"resource","resource","EN","ES"
"response","response","EN","ES"
"Response","Response","EN","ES"
"return","return","EN","ES"
"rop","rop","EN","ES"
"rtl","rtl","EN","ES"
"rules","rules","EN","ES"
"scan","scan","EN","ES"
"scheme","scheme","EN","ES"
"screenX","screenX","EN","ES"
"screenY","screenY","EN","ES"
"script","script","EN","ES"
"scripting","scripting","EN","ES"
"scripts","scripts","EN","ES"
"scroll","scroll","EN","ES"
"sdr","sdr","EN","ES"
"secure","secure","EN","ES"
"select","select","EN","ES"
"self","self","EN","ES"
"send","send","EN","ES"
"serv","serv","EN","ES"
"server","server","EN","ES"
"setInterval","setInterval","EN","ES"
"setTimeout","setTimeout","EN","ES"
"shape","shape","EN","ES"
"shell","shell","EN","ES"
"short","short","EN","ES"
"show","show","EN","ES"
"shrink","shrink","EN","ES"
"sin","sin","EN","ES"
"sizeof","sizeof","EN","ES"
"source","source","EN","ES"
"spoof","spoof","EN","ES"
"spoofing","spoofing","EN","ES"
"sqrt","sqrt","EN","ES"
"srv","srv","EN","ES"
"stage","stage","EN","ES"
"start","start","EN","ES"
"stat","stat","EN","ES"
"static","static","EN","ES"
"static_cast","static_cast","EN","ES"
"staticmethod","staticmethod","EN","ES"
"status","status","EN","ES"
"stop","stop","EN","ES"
"string","string","EN","ES"
"String","String","EN","ES"
"struct","struct","EN","ES"
"structs","structs","EN","ES"
"stub","stub","EN","ES"
"sub","sub","EN","ES"
"submit","submit","EN","ES"
"subsystem","subsystem","EN","ES"
"super","super","EN","ES"
"switch","switch","EN","ES"
"sync","sync","EN","ES"
"synchronized","synchronized","EN","ES"
"sys","sys","EN","ES"
"system","system","EN","ES"
"taint","taint","EN","ES"
"tan","tan","EN","ES"
"template","template","EN","ES"
"templates","templates","EN","ES"
"term","term","EN","ES"
"terminal","terminal","EN","ES"
"text","text","EN","ES"
"textarea","textarea","EN","ES"
"this","this","EN","ES"
"threshold","threshold","EN","ES"
"throw","throw","EN","ES"
"throws","throws","EN","ES"
"top","top","EN","ES"
"torch","torch","EN","ES"
"toself","toself","EN","ES"
"toString","toString","EN","ES"
"transfor","transfor","EN","ES"
"Transformer","Transformer","EN","ES"
"transient","transient","EN","ES"
"true","true","EN","ES"
"try","try","EN","ES"
"type","type","EN","ES"
"typedef","typedef","EN","ES"
"typeid","typeid","EN","ES"
"typename","typename","EN","ES"
"typeof","typeof","EN","ES"
"undefined","undefined","EN","ES"
"unescape","unescape","EN","ES"
"union","union","EN","ES"
"unpack","unpack","EN","ES"
"unsigned","unsigned","EN","ES"
"untaint","untaint","EN","ES"
"use","use","EN","ES"
"using","using","EN","ES"
"valueOf","valueOf","EN","ES"
"var","var","EN","ES"
"version","version","EN","ES"
"virtual","virtual","EN","ES"
"void","void","EN","ES"
"volatile","volatile","EN","ES"
"wchar_t","wchar_t","EN","ES"
"while","while","EN","ES"
"window","window","EN","ES"
"windows","windows","EN","ES"
"with","with","EN","ES"
"write","write","EN","ES"
"xor","xor","EN","ES"
"xor_eq","xor_eq","EN","ES"
"yield","yield","EN","ES"
"zeros","zeros","EN","ES"
